experiment name,no matrices valid, no rejected matrices,S pos albatrosses,S neg albatrosses,S zer albatrosses,S pos prions,S neg prions,S zer prions,S pos burrowSeabirds,S neg burrowSeabirds,S zer burrowSeabirds,S pos petrels,S neg petrels,S zer petrels,S pos grassland,S neg grassland,S zer grassland,S pos herbfield,S neg herbfield,S zer herbfield,S pos macroInverts,S neg macroInverts,S zer macroInverts,S pos mice,S neg mice,S zer mice,S pos penguins,S neg penguins,S zer penguins,S pos rabbits,S neg rabbits,S zer rabbits,S pos rats,S neg rats,S zer rats,S pos redpolls,S neg redpolls,S zer redpolls,S pos skuas,S neg skuas,S zer skuas,S pos surfaceSeabirds,S neg surfaceSeabirds,S zer surfaceSeabirds,S pos tussock,S neg tussock,S zer tussock
Difficult stability M2 Ef = 0.05,100,6951,0,100,0,87,13,0,0,100,0,30,70,0,37,35,28,0,100,0,97,3,0,55,45,0,100,0,0,100,0,0,32,68,0,32,68,0,13,86,1,68,32,0,0,100,0
Difficult stability M2 Ef = 0.1,100,2717,0,100,0,79,21,0,0,100,0,31,69,0,35,43,22,0,100,0,95,5,0,65,35,0,100,0,0,100,0,0,34,66,0,26,74,0,21,79,0,66,34,0,0,100,0
Difficult stability M2 Ef = 0.15,100,1265,0,100,0,77,23,0,0,100,0,41,59,0,40,39,21,0,100,0,95,5,0,46,54,0,100,0,0,100,0,0,37,63,0,29,71,0,23,77,0,63,37,0,0,100,0
Difficult stability M2 Ef = 0.2,100,832,0,100,0,72,28,0,0,100,0,37,63,0,33,39,28,0,100,0,90,10,0,49,51,0,97,3,0,100,0,0,32,68,0,23,77,0,28,72,0,68,32,0,0,100,0
Difficult stability M2 Ef = 0.25,100,477,0,100,0,50,50,0,0,100,0,14,86,0,36,40,24,0,100,0,92,8,0,49,51,0,95,5,0,100,0,0,23,77,0,20,80,0,50,50,0,77,23,0,0,100,0
Difficult stability M2 Ef = 0.3,100,344,0,100,0,54,46,0,0,100,0,24,76,0,28,43,29,0,100,0,94,6,0,60,40,0,90,10,0,100,0,0,20,80,0,20,80,0,46,54,0,80,20,0,0,100,0
Difficult stability M2 Ef = 0.35,100,306,0,100,0,55,45,0,0,100,0,23,77,0,30,40,30,0,100,0,85,15,0,56,44,0,90,10,0,100,0,0,23,77,0,9,91,0,45,55,0,77,23,0,0,100,0
Difficult stability M2 Ef = 0.4,100,225,0,100,0,49,51,0,0,100,0,23,77,0,42,34,24,0,100,0,88,12,0,47,53,0,83,17,0,100,0,0,28,72,0,10,90,0,51,49,0,72,28,0,0,100,0
Difficult stability M2 Ef = 0.45,100,214,0,100,0,49,51,0,0,100,0,24,76,0,30,44,26,0,100,0,88,12,0,48,52,0,82,18,0,100,0,0,20,80,0,8,92,0,51,49,0,80,20,0,0,100,0
Difficult stability M2 Ef = 0.5,100,170,0,100,0,41,59,0,0,100,0,16,84,0,33,38,29,0,100,0,81,19,0,53,47,0,80,20,0,100,0,0,17,83,0,2,98,0,59,41,0,83,17,0,0,100,0
